Product Link,Rating,Review Title,Review Comment,Product Name,Cleaned_Review,Sentiment
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Classy product,"Awesome and superb!
Upgraded from iPhone 12 to 16pro after 4 years. Display is awesome and bigger , the bezel is much slimmer , dedicated camera control feature with swipe feature and changes of exposure is superb and quick. Lighter weight even. Overall an excellent one . Definitely can go for it 🫶👍🤍",Apple Iphone 16 Pro White Titanium 128 Gb,awesome superb upgraded iphone 12 16pro 4 years display awesome bigger bezel much slimmer dedicated camera control feature swipe feature changes exposure superb quick lighter weight even overall excellent one definitely go,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Great product,"Loved it best in the market . You should go for it
Thanks",Apple Iphone 16 Pro White Titanium 128 Gb,loved best market go thanks,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Just wow!,Awesome iPhone. Good upgrade from iPhone 13. Love the 4K 120.,Apple Iphone 16 Pro White Titanium 128 Gb,awesome iphone good upgrade iphone 13 love 4k 120,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Classy product,Best product i will upgrade from 15 to 16 pro Nice Colour very light weight 🤩,Apple Iphone 16 Pro White Titanium 128 Gb,best product upgrade 15 16 pro nice colour light weight,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Simply awesome,Overall best flagship phone in the market..highly recommended,Apple Iphone 16 Pro White Titanium 128 Gb,overall best flagship phone markethighly recommended,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Must buy!,Perfect genuine product it was my first time ordering such an expensive phone and it came out perfect it been 3months using this phone and it's working perfectly fine in all aspects. It was gift to my husband and he really loved it. Must buy if you are planning to buy apple prod,Apple Iphone 16 Pro White Titanium 128 Gb,perfect genuine product first time ordering expensive phone came perfect 3months using phone working perfectly fine aspects gift husband really loved must buy planning buy apple prod,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Just wow!,"Awesome colour and good performance. So small and lightweight handy to use after using heavy pro max series , using it feels like a charm. No heating issues like the 15 pro series.",Apple Iphone 16 Pro White Titanium 128 Gb,awesome colour good performance small lightweight handy use using heavy pro max series using feels like charm heating issues like 15 pro series,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,4,Wonderful,Osm product,Apple Iphone 16 Pro White Titanium 128 Gb,osm product,Neutral
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Brilliant,Best quality in all segment,Apple Iphone 16 Pro White Titanium 128 Gb,best quality segment,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Super!,King of smartphones,Apple Iphone 16 Pro White Titanium 128 Gb,king smartphones,Neutral
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Perfect product!,Upgraded From 13 to 16 Pro. Phone is overall amazing!,Apple Iphone 16 Pro White Titanium 128 Gb,upgraded 13 16 pro phone overall amazing,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,4,Really Nice,"Iphone 12 to iphone 16 pro amazing upgrade ❤️
I love thie phone
Overall the beast ❤️",Apple Iphone 16 Pro White Titanium 128 Gb,iphone 12 iphone 16 pro amazing upgrade love thie phone overall beast,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Highly recommended,Super and powerful phone. Awesome. Preciously i have used Iphone 14 pro max but this is far way better.,Apple Iphone 16 Pro White Titanium 128 Gb,super powerful phone awesome preciously used iphone 14 pro max far way better,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Brilliant,Fully satisfied with this iphone 16 Pro superb phone,Apple Iphone 16 Pro White Titanium 128 Gb,fully satisfied iphone 16 pro superb phone,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,4,Really Nice,"Upgraded from iPhone 12 to 16 pro , its awesome experience, performance battery camera everything is better. Not happy with battery performance",Apple Iphone 16 Pro White Titanium 128 Gb,upgraded iphone 12 16 pro awesome experience performance battery camera everything better happy battery performance,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Great product,No words for this phone🖤🖤🖤🖤,Apple Iphone 16 Pro White Titanium 128 Gb,words phone,Neutral
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Must buy!,excellent,Apple Iphone 16 Pro White Titanium 128 Gb,excellent,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Mind-blowing purchase,Love it 😊,Apple Iphone 16 Pro White Titanium 128 Gb,love,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Terrific purchase,Awesome! Loved it.,Apple Iphone 16 Pro White Titanium 128 Gb,awesome loved,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Worth every penny,Best,Apple Iphone 16 Pro White Titanium 128 Gb,best,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Highly recommended,Upgraded from iPhone 13 to 16pro. Loved it,Apple Iphone 16 Pro White Titanium 128 Gb,upgraded iphone 13 16pro loved,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Brilliant,Best iPhone ever thanks Flipkart for delivering in just 2 days.,Apple Iphone 16 Pro White Titanium 128 Gb,best iphone ever thanks flipkart delivering 2 days,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Awesome,Exclusive Premium Rich Affluent Product. But too too expensive,Apple Iphone 16 Pro White Titanium 128 Gb,exclusive premium rich affluent product expensive,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,4,Wonderful,"Super Hit Avoid to purchase 15 pro series
Just only 16 pro",Apple Iphone 16 Pro White Titanium 128 Gb,super hit avoid purchase 15 pro series 16 pro,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Simply awesome,"I was having iPhone XR from 5yrs , i exchanged it with this demon 😈 , I got very good exchange bonus and the 16pro is very good for night clicks , 48 mp dslr like pictures, performance is also very good , battery will come around 1 day compare to my old xr mobile.",Apple Iphone 16 Pro White Titanium 128 Gb,iphone xr 5yrs exchanged demon got good exchange bonus 16pro good night clicks 48 mp dslr like pictures performance also good battery come around 1 day compare old xr mobile,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Perfect product!,"Crazy phone. Upgraded from 13 to 16 pro.
Will definitely use it for like 5 years.",Apple Iphone 16 Pro White Titanium 128 Gb,crazy phone upgraded 13 16 pro definitely use like 5 years,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Great product,Good,Apple Iphone 16 Pro White Titanium 128 Gb,good,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,4,Pretty good,"Battery and camera should be improve, other then this all is good.",Apple Iphone 16 Pro White Titanium 128 Gb,battery camera improve good,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,4,Delightful,"I was using iphone 11pro , wanted to upgrade to 5g Sold bought 16pro , my other phone is Samsung S23 Ultra.
I must say Samsung S23 Ultra is better phone then iphone 16 pro in my opinion...

I am an iphone lover but I felt Samsung is better then iphone..
Specially Ultra phones...",Apple Iphone 16 Pro White Titanium 128 Gb,using iphone 11pro wanted upgrade 5g sold bought 16pro phone samsung s23 ultra must say samsung s23 ultra better phone iphone 16 pro opinion iphone lover felt samsung better iphone specially ultra phones,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Great product,Elegance meets power😍,Apple Iphone 16 Pro White Titanium 128 Gb,elegance meets power,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Brilliant,Good,Apple Iphone 16 Pro White Titanium 128 Gb,good,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Great product,It's most powerful and beautiful mobile.,Apple Iphone 16 Pro White Titanium 128 Gb,powerful beautiful mobile,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Simply awesome,Good,Apple Iphone 16 Pro White Titanium 128 Gb,good,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Terrific,As usual at its best,Apple Iphone 16 Pro White Titanium 128 Gb,usual best,Positive
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Must buy!,Awsm phone,Apple Iphone 16 Pro White Titanium 128 Gb,awsm phone,Neutral
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Excellent,Behtareen phone ✅,Apple Iphone 16 Pro White Titanium 128 Gb,behtareen phone,Neutral
https://www.flipkart.com/apple-iphone-16-pro-white-titanium-128-gb/product-reviews/itm50f720fdcec51?pid=MOBH4JCVQZPCHWJD&lid=LSTMOBH4JCVQZPCHWJDT21P4P&marketplace=FLIPKART,5,Perfect product!,"Typically Apple, very reliable, hopefully it shud not slow up as new versions of the phone come up. So far great!",Apple Iphone 16 Pro White Titanium 128 Gb,typically apple reliable hopefully shud slow new versions phone come far great,Positive
